Episode,GPU Time,CPU Time,MSE,RMSE
Episode_1,0.03877082586288452,0.013865079879760742,2.516614041128647e-16,1.5863839513587645e-08
Episode_2,0.0362591359574916,0.01349622112209514,3.6300349554560155e-12,1.9052650617318356e-06
Episode_3,0.03661214650332273,0.013044451619242574,1.0932777427870293e-05,0.00330647507594875
Episode_1,0.03877082586288452,0.011574058532714844,2.516614041128647e-16,1.5863839513587645e-08
Episode_2,0.0362591359574916,0.011419946864499883,3.6300349554560155e-12,1.9052650617318356e-06
Episode_3,0.03661214650332273,0.010378400048056801,1.0932777427870293e-05,0.00330647507594875
Episode_4,0.030464082423264417,0.01003608509777038,0.0019417096174661624,0.04406483424984329
Episode_5,0.03350007247090079,0.011447650337636601,0.0038906627393141026,0.06237517726879902
Episode_6,0.03385405242443085,0.010404929518699646,1.0582711487933766e-16,1.0287230671047367e-08
Episode_7,0.03947992408119435,0.01116337526313082,1.958651183382514e-05,0.004425665128974981
Episode_8,0.0363003795308278,0.009935070697526286,0.008041930642443991,0.08967681217819906
Episode_9,0.04466067390512932,0.010249263525453137,1.0247553639646612e-16,1.0123020122298786e-08
