Episode,GPU Time,CPU Time,MSE,RMSE
Episode_1,0.03877082586288452,0.006571505069732666,1.7820622654264363e-05,0.00422144793338309
Episode_2,0.0362591359574916,0.006069613715349618,3.9558402137324515e-05,0.006289547053431154
Episode_1,0.03877082586288452,0.005850112438201905,1.7820622654264363e-05,0.00422144793338309
Episode_2,0.0362591359574916,0.005330627247438592,3.9558402137324515e-05,0.006289547053431154
Episode_3,0.03661214650332273,0.005531662113063938,5.891922194164845e-06,0.002427328200751774
Episode_4,0.030464082423264417,0.004872103047564747,0.0019951426115067234,0.04466701928164363
Episode_5,0.03350007247090079,0.004910950065963378,0.0039511124197417575,0.06285787476316518
Episode_6,0.03385405242443085,0.004921666449970669,2.6176337213702848e-05,0.005116281580767702
Episode_7,0.03947992408119435,0.00485816584924423,7.141434428398232e-05,0.008450700816144322
Episode_8,0.0363003795308278,0.004983849991533093,0.008058028687490336,0.08976652320041328
Episode_9,0.04466067390512932,0.004923263297622652,3.635975720325958e-05,0.00602990523999006
