Episode,GPU Time,CPU Time,MSE,RMSE
Episode_1,0.05033535,0.026279526,0.000566042,0.023791646
Episode_2,0.050608822,0.026803311,0.000215663,0.014685477
Episode_3,0.051032933,0.027525098,6.31E-05,0.007945359
Episode_4,0.050445453,0.028060747,6.34E-06,0.002518787
Episode_5,0.051327539,0.033714656,1.64E-06,0.001281177
Episode_6,0.05225136,0.03131262,0.000251359,0.015854291
Episode_7,0.054791902,0.030407771,7.87E-06,0.002805662
Episode_8,0.056624405,0.060315312,8.47E-18,2.91E-09
Episode_9,0.059139956,0.031674147,2.34E-05,0.004838673
