Episode,GPU Time,CPU Time,MSE,RMSE
Episode_1,0.1534501314163208,0.0405541553216822,0.0002598695823115018,0.016120470908490912
Episode_2,0.20193373239957368,0.0358583560356727,0.00011724691593852148,0.010828061504190004
Episode_3,0.05589560918093578,0.03522058814657712,0.00037409075646774786,0.019341425916093877
Episode_4,0.05347051838490526,0.03491269874230782,0.0008561193279531551,0.029259516878327896
Episode_1,0.1534501314163208,0.0381554505404304,0.0002598695823115018,0.016120470908490912
Episode_2,0.20193373239957368,0.03831747250679212,0.00011724691593852148,0.010828061504190004
Episode_3,0.05589560918093578,0.03708931495403421,0.00037409075646774786,0.019341425916093877
Episode_4,0.05347051838490526,0.036725632335401236,0.0008561193279531551,0.029259516878327896
Episode_5,0.054466724013262253,0.03685273728906152,0.00043422211592794964,0.020837996926958927
Episode_6,0.05535583687417301,0.03684367250513147,0.00011915940161812334,0.010916015830792998
Episode_7,0.05303617068319932,0.03682168373490442,5.857899782715522e-05,0.0076536917776426835
Episode_8,0.057084082702198995,0.036864675037105325,4.9321064422163084e-05,0.007022895729125065
Episode_9,0.05783381167878496,0.038294021423826825,7.280016500057753e-05,0.00853230127225812
